symbol,dateTime,startPrice,highestPrice,lowestPrice,endPrice,volume
TL0.XETRA,2023-09-26T21:59:59Z,232.1,235.65,228.15,233.95,106530
TL0.XETRA,2023-10-04T21:59:59Z,231.85,244.5,231.6,243.45,77854
TL0.XETRA,2023-10-06T21:59:59Z,243.85,244.25,238.95,241.8,73450
TL0.XETRA,2023-10-12T21:59:59Z,248.2,251.0,246.5,249.65,40432
TL0.XETRA,2023-10-16T21:59:59Z,239.6,241.15,235.15,239.2,58719
TL0.XETRA,2023-10-17T21:59:59Z,239.75,241.1,234.95,240.4,44328
TL0.XETRA,2023-10-20T21:59:59Z,205.45,208.9,198.98,198.98,141013
TL0.XETRA,2023-10-25T21:59:59Z,204.0,207.75,202.6,205.65,57490
TL0.XETRA,2023-11-06T21:59:59Z,207.35,211.1,204.2,205.25,128364
TL0.XETRA,2023-11-09T21:59:59Z,206.3,206.7,199.12,199.12,64284
TL0.XETRA,2024-01-10T21:59:59Z,215.0,216.1,211.45,212.45,42829
TL0.XETRA,2024-01-18T21:59:59Z,197.9,201.35,194.0,195.46,74191
TL0.XETRA,2024-01-23T21:59:59Z,191.42,198.46,190.94,193.0,56473
TL0.XETRA,2024-02-02T21:59:59Z,174.48,174.98,168.92,169.88,85614
18MS.XETRA,2022-08-08T21:59:59Z,9.17,9.195,9.136,9.17,41669
18MS.XETRA,2023-07-07T21:59:59Z,7.962,7.996,7.916,7.928,123582
18MS.XETRA,2024-01-24T21:59:59Z,7.624,7.624,7.545,7.545,36191
0GZC.XETRA,2023-03-14T21:59:59Z,93.625,94.27,93.5,93.5,0
0GZC.XETRA,2023-06-12T21:59:59Z,85.055,85.37,83.34,83.34,0
0GZC.XETRA,2023-07-25T21:59:59Z,86.52,89.75,86.52,89.75,0
0GZC.XETRA,2023-08-22T21:59:59Z,81.37,81.37,81.37,81.37,0
18MS.XETRA,2023-06-28T21:59:59Z,7.754,7.757,7.722,7.722,18711
18MS.XETRA,2023-10-11T21:59:59Z,8.129,8.129,8.066,8.084,425
18MS.XETRA,2022-10-10T21:59:59Z,10.192,10.212,10.118,10.176,19963
18MS.XETRA,2022-10-12T21:59:59Z,10.238,10.288,10.182,10.256,69752
0GZC.XETRA,2022-07-27T21:59:59Z,86.42,87.275,86.315,87.275,0
0GZC.XETRA,2023-02-22T21:59:59Z,104.98,105.72,104.89,104.89,0
0GZC.XETRA,2023-03-16T21:59:59Z,92.565,92.845,92.17,92.17,0
0GZC.XETRA,2023-03-30T21:59:59Z,95.225,95.905,93.685,93.685,0
0GZC.XETRA,2023-04-06T21:59:59Z,91.06,91.895,91.06,91.895,0
0GZC.XETRA,2023-12-13T21:59:59Z,65.185,65.5,65.085,65.5,0
0GZC.XETRA,2023-12-19T21:59:59Z,65.5,66.105,65.5,66.105,0
18MS.XETRA,2022-11-24T21:59:59Z,8.62,8.62,8.575,8.594,29637
18MS.XETRA,2023-08-14T21:59:59Z,7.803,7.803,7.758,7.783,7110
18MS.XETRA,2023-10-04T21:59:59Z,8.342,8.342,8.248,8.283,4579
0GZC.XETRA,2023-07-11T21:59:59Z,84.105,84.105,83.1,83.23,0
0GZC.XETRA,2023-10-23T21:59:59Z,74.38,74.38,73.37,73.37,0
0GZC.XETRA,2023-11-17T21:59:59Z,68.175,68.175,67.77,67.77,0
18MS.XETRA,2022-07-11T21:59:59Z,10.028,10.028,9.921,9.963,449
18MS.XETRA,2023-07-27T21:59:59Z,7.715,7.715,7.559,7.559,865
18MS.XETRA,2023-10-16T21:59:59Z,8.179,8.248,8.179,8.186,3051
18MS.XETRA,2024-01-26T21:59:59Z,7.492,7.492,7.431,7.437,14596
18MS.XETRA,2022-07-13T21:59:59Z,9.977,10.12,9.977,10.016,4641
18MS.XETRA,2022-08-01T21:59:59Z,9.308,9.308,9.264,9.306,4815
